zone2_power,zone3_power,power_sum_23,hour_sin,hour_cos,temperature,humidity,hdd,cdd,zone1_power
26188.23529,25033.84615,51222.08144,-0.5000000000000004,0.8660254037844384,23.23,58.77,0.0,0.0,41748.98361
24782.27848,24793.30544,49575.583920000005,0.7071067811865476,-0.7071067811865475,26.87,62.3,0.0,2.870000000000001,36205.71429
17918.18182,10392.28916,28310.47098,0.7071067811865475,0.7071067811865476,19.16,54.1,0.0,0.0,22387.69231
20848.10127,25474.14226,46322.24353,0.2588190451025207,0.9659258262890684,24.31,85.7,0.0,0.3099999999999987,31683.18937
16954.35685,12576.29179,29530.64864,0.7071067811865475,0.7071067811865476,19.86,70.8,0.0,0.0,24999.91247
25243.769,25181.90955,50425.67855,-0.8660254037844386,0.5000000000000001,13.6,63.0,4.4,0.0,41912.54237
19473.55623,14139.75904,33613.31527,0.4999999999999999,-0.8660254037844387,12.43,83.3,5.57,0.0,30057.72152
26680.85106,24927.19598,51608.047040000005,-1.0,-1.8369701987210294e-16,15.11,61.1,2.890000000000001,0.0,41943.05085
24578.79418,26318.76923,50897.56341,-0.5000000000000004,0.8660254037844384,20.45,82.6,0.0,0.0,45062.78146
18603.65854,14887.74194,33491.40048,0.4999999999999999,-0.8660254037844387,14.62,64.65,3.380000000000001,0.0,34939.91489
16193.92452,9415.606242,25609.530762,0.7071067811865475,0.7071067811865476,17.41,69.56,0.5899999999999999,0.0,21627.37643
27273.18087,33083.07692,60356.25779,-0.8660254037844386,0.5000000000000001,22.31,80.9,0.0,0.0,47173.50993
28152.59875,19921.71604,48074.31479,-1.0,-1.8369701987210294e-16,29.88,30.58,0.0,5.879999999999999,46564.24779
11210.59063,15639.27273,26849.863360000003,0.4999999999999999,0.8660254037844387,15.62,82.5,2.380000000000001,0.0,23970.03229
19744.21488,10831.80723,30576.02211,0.258819045102521,-0.9659258262890682,14.44,75.2,3.5600000000000005,0.0,28233.84615
17406.22407,8975.56231,26381.78638,0.9659258262890684,-0.2588190451025206,24.73,50.55,0.0,0.7300000000000004,27684.55142
17714.05295,14225.45455,31939.5075,0.8660254037844387,-0.4999999999999998,16.45,83.8,1.5500000000000007,0.0,28626.39397
25369.74532,9329.171669,34698.916989000005,-0.8660254037844384,-0.5000000000000004,16.78,56.28,1.2199999999999989,0.0,30886.69202
22200.63358,19007.39812,41208.03170000001,-0.9659258262890684,-0.2588190451025206,24.68,89.2,0.0,0.6799999999999997,36957.33629
26865.04752,26344.32602,53209.37354,-0.8660254037844384,-0.5000000000000004,27.26,61.29,0.0,3.2600000000000016,39252.38624
17055.53851,9490.516206,26546.054716,0.4999999999999999,0.8660254037844387,8.56,88.1,9.44,0.0,22107.98479
23153.11445,10366.38655,33519.501000000004,1.2246467991473532e-16,-1.0,16.17,60.77,1.8299999999999983,0.0,29280.60837
13697.56098,14864.51613,28562.07711,0.2588190451025207,0.9659258262890684,12.81,63.62,5.1899999999999995,0.0,24204.25532
22258.62786,21616.24615,43874.87401,0.7071067811865475,0.7071067811865476,15.96,70.2,2.039999999999999,0.0,36480.0
15099.7921,12684.94382,27784.73592,0.9659258262890684,0.2588190451025207,20.66,66.16,0.0,0.0,26703.71681
24147.86151,28544.0,52691.86151,-0.8660254037844386,0.5000000000000001,15.02,86.0,2.9800000000000004,0.0,44728.35307
26447.3029,14537.14286,40984.44576,-0.5000000000000004,0.8660254037844384,17.35,61.14,0.6499999999999986,0.0,32839.56236
26374.39024,24944.51613,51318.90637,-0.7071067811865477,0.7071067811865474,10.47,67.4,7.529999999999999,0.0,43138.7234
18885.12397,10282.40964,29167.53361,0.2588190451025207,0.9659258262890684,13.12,84.7,4.880000000000001,0.0,23661.53846
27582.69408,10596.87875,38179.572830000005,-0.7071067811865471,-0.7071067811865479,16.27,52.1,1.7300000000000004,0.0,32486.69202
16209.28793,16644.53441,32853.82234,0.0,1.0,17.2,74.1,0.8000000000000007,0.0,26854.81967
26445.56962,31698.07531,58143.644929999995,0.0,1.0,23.05,65.89,0.0,0.0,39490.76412
23326.68024,27531.63636,50858.316600000006,-0.9659258262890684,0.2588190451025203,18.63,72.3,0.0,0.0,43723.91819
15277.07886,6476.830732,21753.909592,0.9659258262890684,-0.2588190451025206,11.63,82.8,6.369999999999999,0.0,21177.18631
13783.58663,14602.40964,28385.99627,1.0,6.123233995736766e-17,13.37,70.2,4.630000000000001,0.0,22657.21519
18189.62872,7352.70108,25542.3298,0.9659258262890684,-0.2588190451025206,5.953,82.7,12.047,0.0,22533.8403
26407.59494,31451.04603,57858.64097,-0.2588190451025215,0.965925826289068,24.3,83.9,0.0,0.3000000000000007,40020.19934
23901.4553,23494.89231,47396.34761,0.4999999999999999,0.8660254037844387,19.95,73.4,0.0,0.0,38908.60927
21603.64742,16574.45783,38178.10525,-0.9659258262890684,-0.2588190451025206,11.75,68.61,6.25,0.0,31175.6962
21292.08025,23954.85893,45246.93918,0.2588190451025207,0.9659258262890684,19.46,58.05,0.0,0.0,30417.40289
24478.5124,11467.95181,35946.46421,-0.8660254037844384,-0.5000000000000004,23.2,55.4,0.0,0.0,29926.15385
19855.78512,11074.6988,30930.48392,0.0,1.0,14.65,55.3,3.3499999999999996,0.0,24855.38462
32575.6367,16941.17647,49516.813169999994,-0.9659258262890684,0.2588190451025203,9.5,62.22,8.5,0.0,37682.12928
19422.4924,16765.3012,36187.793600000005,-0.9659258262890684,-0.2588190451025206,16.58,56.85,1.4200000000000017,0.0,31983.79747
13627.24458,10727.12551,24354.37009,1.0,6.123233995736766e-17,14.1,88.0,3.9,0.0,22624.52459
14882.74428,14261.16923,29143.91351,0.8660254037844386,0.5000000000000001,17.18,66.8,0.8200000000000003,0.0,25405.03311
22360.29567,23395.10972,45755.40539,0.4999999999999999,0.8660254037844387,25.88,88.2,0.0,1.879999999999999,32009.23418
18552.6971,11199.02736,29751.72446,0.2588190451025207,0.9659258262890684,19.41,79.6,0.0,0.0,24722.62582
26960.41731,10931.09244,37891.50975,-0.4999999999999998,-0.8660254037844388,16.25,53.16,1.75,0.0,32985.55133
18773.52342,20421.81818,39195.3416,-1.0,-1.8369701987210294e-16,16.35,66.05,1.6499999999999986,0.0,34448.39612
26473.17073,25600.64516,52073.81589,-0.9659258262890684,0.2588190451025203,15.24,73.9,2.76,0.0,43923.06383
15200.8316,14361.75689,29562.58849,0.7071067811865475,0.7071067811865476,21.18,55.99,0.0,0.0,25773.45133
24149.54407,25341.68675,49491.23082,-1.0,-1.8369701987210294e-16,15.4,70.1,2.5999999999999996,0.0,40313.92405
22915.31151,21402.88401,44318.19552,1.2246467991473532e-16,-1.0,27.01,65.05,0.0,3.0100000000000016,37110.76582
